Sample_ID;Sample;Geological unit;Deposit;Nature;Zone;Na_pct;Al_pct;Si_pct;Mg_pct;Ca_pct;K_pct;Ti_pct;Fe_pct;Mn_pct;Ni_pct;Cr_pct;Li_ppm;Na_ppm;Mg_ppm;Al_ppm;Si_ppm;Si_ppm;P_ppm;K_ppm;Ca42_ppm;Ca44_ppm;Sc_ppm;Ti_ppm;V_ppm;Cr_ppm;Mn_ppm;Fe_ppm;Co_ppm;Ni_ppm;Cu_ppm;Zn_ppm;Ga_ppm;As_ppm;Se_ppm;Rb_ppm;Sr_ppm;Y_ppm;Zr_ppm;Nb_ppm;Mo_ppm;Cd_ppm;Sn_ppm;Cs_ppm;Ba_ppm;La_ppm;Ce_ppm;Pr_ppm;Nd_ppm;Sm_ppm;Eu_ppm;Gd_ppm;Tb_ppm;Dy_ppm;Ho_ppm;Er_ppm;Tm_ppm;Yb_ppm;Lu_ppm;Hf_ppm;Ta_ppm;W_ppm;Pb_ppm;Th_ppm;U_ppm
PGD-01_mag_7_2;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.016469292;0.01259615;;;0.00814758;;0.012949416;71.14430825;0.053670078;;0.01518924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGD-01_mag_9_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.00890232;0.006827325;0.008741128;0.00735782;0.02022601;;;71.65842109;0.044066774;0.011237512;0.03106268;0.51;107.9;14.955;259.47;5215.04;2844;27.67;10.64;409.215;102.905;0.31;106.75;886.89;181.71;318.87;716585.19;15.42;13.04;0.44;175.3;4.13;1.255;9.15;0.26;0.55;0.183;0.16;0.1025;0.695;1.515;6.1;0.096;0.72;0.115;0.17;0.107;1.195;1.01;0.165;1.16;0.095;0.71;0.125;0.265;0.145;0.53;0.12;0.66;0.11;0.84;0.625;0.05;0.048
PGD-01_mag_10_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.07631785;0.006731136;0.00765937;0.03880821;0.004316832;;72.00782193;0.03291455;0.019488832;0.02572592;1.73;5430.44;1973.86;2501.14;23671.43;30388.15;47.22;867.35;3792.21;4191.28;0.445;183.08;1199.09;156.85;327.47;720079.19;18.1;17.98;7.74;585.92;6.98;1.44;9.51;22.21;12.94;4.18;11.09;0.62;0.745;4.925;24.4;0.155;38.52;2.64;2.5;0.34;1.75;1.21;0.41;0.995;0.1105;1.235;0.165;0.605;0.195;0.77;0.31;0.535;0.18;0.785;16.37;1.49;2.77
PGD-01_mag_11_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;;0.017200625;0.00911508;;0.01136373;;;71.71057859;0.027183546;0.016816976;0.02948902;0.73;220.52;117.64;583.59;2165.485;4052.65;42.295;125.09;567.78;313.1;0.44;246.74;1016.22;144.17;452.54;717106.75;16;19.61;0.795;441.99;5.43;1.13;14.675;0.91;0.3;0.081;0.33;0.105;0.62;2.375;1.185;0.0935;1.77;1.72;1.68;0.14;1.12;1.345;0.395;0.86;0.13;0.84;0.11;0.48;0.17;1.115;0.185;0.595;0.155;0.925;0.98;5.14;0.039
PGD-01_mag_13_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.009569994;0.00984405;0.00654416;;0.00564613;;;71.55084138;0.023311246;0.000314336;0.02175756;1.81;924.53;944.58;1420.01;20783.19;4526.625;99.82;128.13;645.94;890.71;0.505;424.24;1024.31;217.29;464.11;715509.44;10.97;17.29;4.15;410.08;6.25;1.94;17.2;0.37;3.8;0.53;0.71;0.12;0.81;2.725;28.73;0.185;10;0.23;0.92;0.175;1.275;0.77;0.34;1.1;0.19;0.835;0.205;0.39;0.245;0.95;0.215;0.965;0.235;0.965;1.375;;0.117
PGD-01_mag_12_1;PGD-01;Francisco deposit (plutonic);Francisco deposit;Transitional;Unaltered;0.011647202;0.0222285;0.011405536;;;;0.012289955;71.35457061;0.04375699;0.015795384;0.01053668;0.615;303.38;81.76;276.3;8463.27;3383.965;37.5;87.34;476.83;124.645;0.345;185.27;879.3;127.27;381.47;713546.75;13.98;22.04;1.71;70.28;9.25;1.315;10.215;0.28;0.78;0.1055;0.69;0.086;0.51;2.765;2.39;0.145;1.125;0.145;0.165;0.135;0.92;0.78;0.175;0.865;0.165;0.49;0.145;0.655;0.155;0.805;0.17;0.49;0.14;0.98;0.57;;
RA69_mag_2_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.055787872;0.443776125;0.043658896;0.00633255;0.0664671;;3.91360128;61.92859862;0.062189138;;0.0112893;5.54;65663.61;4474.81;5977.71;199259.55;163569.05;99.5;1144.03;37607.72;42809.89;11.27;44315.83;382.04;17.44;632.32;619286.94;6.93;11.34;6.54;4496.33;22.32;1.895;12.245;4.86;45.45;3;49.25;10.1;7.07;2.675;33.83;0.29;55.02;8.4;10.36;1.09;2.15;1.455;0.35;1.445;0.22;3.11;0.285;0.62;0.205;1.14;0.21;1.9;0.56;2.99;62.2;0.27;1.1
RA69_mag_3_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.144069212;0.4979184;0.078436432;;0.05617542;0.016354152;4.557415069;61.14188317;0.106255912;0.003614864;0.00916828;1.94;22455.37;1664.53;5027.45;87576.55;79848.8;267.52;625.03;19470.66;20630.21;12.75;48305.28;852.33;98.76;1106.43;611419.81;7.98;27.5;7.39;5943.05;21.38;2.22;15.205;2.02;30.18;9.08;35.49;24.24;5.71;4.565;30.66;0.18;46.9;64.62;90.98;10.51;30.21;5.48;0.75;1.51;0.275;3.11;0.54;1.74;0.22;1.71;0.205;0.805;0.82;1.105;756.76;1.1;7.71
RA69_mag_3_2;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.143846654;0.32527705;0.04627656;0.00084434;0.04273906;0.013033512;4.300525034;61.25218346;0.089295238;0.014066536;;2.8;19110.13;2288.38;1943.56;74563;77895.75;87.83;476.02;16671.92;17057.25;5.43;13210.5;196.81;79.92;792.33;612522.81;7.69;13.09;0.9;1121.25;9.6;2.1;14.91;2.04;50.21;6.8;41.25;8.8;2.85;3.705;17.31;0.125;64.11;10.73;14.97;2.14;7.29;1.315;0.42;1.115;0.21;1.22;0.56;0.705;0.3;0.9;0.145;0.615;0.13;1.9;139.09;1.84;1.06
RA69_mag_4_1;RA69;Pé Quente deposit;Pé Quente deposit;Hydrothermal;Hydrothermal;0.069512282;0.332951175;0.047865856;;0.03466295;0.00954684;4.641286518;61.82350631;0.077523446;;0.00800514;1.58;2111.21;169.17;5419.1;12254.96;4723.91;83.91;131.93;2409.32;1728.98;11.29;50502.86;961.39;62.09;918.25;618236;8.67;32.8;3.9;6664.72;23.45;1.985;13.14;0.32;8.04;2.39;14.95;24.09;9.1;3.22;30.99;0.18;16.06;17.84;28.59;3.06;11.84;0.93;0.385;1.22;0.175;2.11;0.215;0.46;0.235;0.775;0.225;0.5;0.7;1.28;264.7;;4.37
